"YearMonth","L1_TotalReceipts","L3_AgricultureCerts","L4_PurchaseExemptionCerts","L6_GovernmentUnits","L10_NonRetailServiceInstall","L17a_OtherDeductDesc","L17b_OtherDeductAmt","L20_TotalDeductions","L23a_CostOfTPPUsed","L24_TotalTaxable","L25_SalesUseTax_6pct","GLTaxOrig","ReallocApplied"
"202009","1271685.36","0","81079.06","0","190","Installed sales billings reversed at contract closeout","1190416.30","1271685.36","0","0","0.00","0","0"
"202010","2576585.04","0","0","0","39720","Installed sales billings reversed at contract closeout","1005138.55","1044858.55","0","1531726.49","91903.59","120819.2","-28915.61"
"202011","1390501.62","0","14120.2","0","70","Installed sales billings reversed at contract closeout","955755.26","969945.46","759.33","421315.49","25278.93","33172.54","-7939.17"
"202012","974842.94","0","0","0","80744","Installed sales billings reversed at contract closeout","452811.09","533555.09","819.59","442107.44","26526.45","34807.81","-8330.54"
"202101","806919.96","0","0","0","78230","Installed sales billings reversed at contract closeout","451697.28","529927.28","3334.63","280327.31","16819.64","21848.57","-5229.01"
"202102","676311.90","0","3806.28","0","15833","Installed sales billings reversed at contract closeout","514655.71","534294.99","2703.59","144720.50","8683.23","11201.98","-2680.97"
"202103","1289071.48","0","33507.48","0","144058","Installed sales billings reversed at contract closeout","701778.62","879344.10","733.69","410461.07","24627.66","32318.39","-7734.75"
"202104","919867.36","0","29095.4","0","2430","Installed sales billings reversed at contract closeout","557812.54","589337.94","3690.31","334219.73","20053.18","26071.43","-6239.66"
"202105","971452.16","0","17963.2","0","50","Installed sales billings reversed at contract closeout","603775.26","621788.46","361.05","350024.75","21001.48","27580.7","-6600.88"
"202106","1612087.04","11128.45","29407.11","0","41863","Installed sales billings reversed at contract closeout","1007075.46","1089474.02","593.17","523206.19","31392.37","41222.56","-9865.78"
"202107","1402688.68","1137.4","147644.36","0","193855","Installed sales billings reversed at contract closeout","1060051.92","1402688.68","39.34","39.34","2.36","-77987.38","77987.38"
"202108","716707.08","0","3096.72","0","107","Installed sales billings reversed at contract closeout","505758.71","508962.43","103.11","207847.76","12470.87","15706.46","-3241.78"
"202109","865491.92","0","32453.68","0","11250","Installed sales billings reversed at contract closeout","522219.73","565923.41","261.75","299830.26","17989.82","22648.77","-4674.66"
"202110","942184.60","0","31838.58","0","6149","Installed sales billings reversed at contract closeout","542272.82","580260.40","238","362162.20","21729.73","27363.15","-5647.70"
"202111","999190.58","0","16439.16","0","15129","Installed sales billings reversed at contract closeout","606144.22","637712.38","192.7","361670.90","21700.25","27329.43","-5640.74"
"202112","1103557.68","0","58276","0","159495","Installed sales billings reversed at contract closeout","544184.38","761955.38","751.01","342353.31","20541.20","25826.72","-5330.58"
"202201","892368.94","0","63582.08","0","2403","Installed sales billings reversed at contract closeout","826383.86","892368.94","393.75","393.75","23.62","-22563.81","22563.81"
"202202","791624.64","1896.25","19671.69","0","10440","Installed sales billings reversed at contract closeout","561338.58","593346.52","262.07","198540.19","11912.41","14478.36","-2581.67"
"202203","1467538.18","0","183662.92","0","26809","Installed sales billings reversed at contract closeout","724576.22","935048.14","177.33","532667.37","31960.04","38882.67","-6933.27"
"202204","809934.92","0","102192.58","0","704","Installed sales billings reversed at contract closeout","437482.12","540378.70","41.8","269598.02","16175.88","19683.12","-3509.75"
"202205","1098955.82","0","82283.24","52.96","103998","Installed sales billings reversed at contract closeout","582817.91","769152.11","15.95","329819.66","19789.18","24082.42","-4294.20"
"202206","1757189.64","0","96342.18","0","141335","Installed sales billings reversed at contract closeout","918000.53","1155677.71","3.22","601515.15","36090.91","43922.68","-7831.96"
"202207","1095444.46","0","72877.86","0","26997","Installed sales billings reversed at contract closeout","995569.60","1095444.46","15942.3","15942.3","956.54","-22728.62","22728.62"
"202208","1762281.28","0","203958.18","0","184333","Installed sales billings reversed at contract closeout","1164296.38","1552587.56","0","209693.72","12581.62","16792.39","-4210.77"
"202209","1385696.20","100.97","20631.99","0","8574","Installed sales billings reversed at contract closeout","859004.60","888311.56","0","497384.64","29843.08","39830.84","-9987.76"
"202210","879161.36","30.98","99036.20","0","0","Installed sales billings reversed at contract closeout","533495.50","632562.68","2.21","246600.89","14796.05","19747.76","-4951.84"
"202211","765121.08","0","63441.29","48.77","8600","Installed sales billings reversed at contract closeout","446831.19","518921.25","0","246199.83","14771.99","19715.82","-4943.83"
"202212","505506.20","0","32554.4","0","12622","Installed sales billings reversed at contract closeout","298312.20","343488.60","4.04","162021.64","9721.30","12974.46","-3253.40"
"202301","974176.96","141.16","5620.90","0","282128","Installed sales billings reversed at contract closeout","686286.90","974176.96","0","0","0.00","-25639.82","25639.82"
"202302","557501.36","0","10420.22","0","23307","Installed sales billings reversed at contract closeout","338385.36","372112.58","0","185388.78","11123.33","14996.94","-3873.61"
"202303","823454.04","236.92","44095.70","0","35654","Installed sales billings reversed at contract closeout","474735.20","554721.82","0","268732.22","16123.93","21738.97","-5615.04"
"202304","1026078.24","0","4281.16","111.46","95337","Installed sales billings reversed at contract closeout","577869.98","677599.60","55.96","348534.60","20912.08","28190.02","-7281.30"
"202305","953715.08","0","16056.64","0","38904","Installed sales billings reversed at contract closeout","573294.28","628254.92","30.43","325490.59","19529.44","26327.95","-6800.34"
"202306","1019881.72","128.36","114225.48","0","18593","Installed sales billings reversed at contract closeout","607909.13","740855.97","0","279025.75","16741.54","22571.66","-5830.11"
"202307","1097595.92","1536.99","80296.29","0","38091","Installed sales billings reversed at contract closeout","644239.99","764164.27","107.8","333539.45","20012.37","26972.8","-6966.90"
"202308","1086894.38","884.24","34523.01","56.65","0","Installed sales billings reversed at contract closeout","671990.66","707454.56","0","379439.82","22766.39","30694.61","-7928.22"
"202309","1020640.60","96.4","27142.42","0","118625","Installed sales billings reversed at contract closeout","555707.41","701571.23","0","319069.37","19144.16","25810.97","-6666.81"
"202310","1156443.16","37.75","54256.19","0","31013","Installed sales billings reversed at contract closeout","713127.14","798434.08","0","358009.08","21480.54","28960.98","-7480.44"
"202311","897531.70","150.98","7100.38","0","3198","Installed sales billings reversed at contract closeout","549650.55","560099.91","0","337431.79","20245.91","27296.39","-7050.48"
"202312","994721.18","18.52","37567.82","0","255147","Installed sales billings reversed at contract closeout","701987.84","994721.18","0","0","0.00","-61562.71","61562.71"
"202401","734802.16","0","9598.6","0","54617","Installed sales billings reversed at contract closeout","432273.84","496489.44","0","238312.72","14298.76","17948.84","-3650.08"
"202402","584646.84","171.48","9384.66","0","10907","Installed sales billings reversed at contract closeout","319155.83","339618.97","0","245027.87","14701.67","18454.6","-3752.93"
"202403","867372.44","52.49","127281.75","0","2126","Installed sales billings reversed at contract closeout","493830.61","623290.85","0","244081.59","14644.90","18383.33","-3738.43"
"202404","799398.04","344.2","3163.34","0","25174","Installed sales billings reversed at contract closeout","467707.85","496389.39","0","303008.65","18180.52","22821.5","-4640.98"
"202405","606155.80","64.46","27896.50","0","40556","Installed sales billings reversed at contract closeout","366942.53","435459.49","0","170696.31","10241.78","12856.22","-2614.44"
"202406","445303.16","219.22","13912.90","0","0","Installed sales billings reversed at contract closeout","230136.29","244268.41","0","201034.75","12062.08","15141.2","-3079.11"
"202407","906290.94","35.61","81118.41","0","7020","Installed sales billings reversed at contract closeout","548649.20","636823.22","0","269467.72","16168.06","20295.32","-4127.26"
"202408","1384831.38","1097.5","68279.52","0","265695","Installed sales billings reversed at contract closeout","1049759.36","1384831.38","0","0","0.00","-23507.05","23507.05"
"202409","721467.04","152.3","5604.04","63.44","125684","Installed sales billings reversed at contract closeout","589963.26","721467.04","0","0","0.00","-17677.37","17677.37"
"202410","876173.48","82.11","14765.67","0","0","Installed sales billings reversed at contract closeout","438288.03","453135.81","0","423037.67","25382.26","25382.26","0"
"202411","585151.28","256.97","24613.01","8.98","0","Installed sales billings reversed at contract closeout","291115.32","315994.28","0","269157","16149.42","16149.42","0"
"202412","464886.26","15.9","2601.26","0","18531","Installed sales billings reversed at contract closeout","227562.77","248710.93","0","216175.33","12970.52","12970.52","0"
"202501","339695.26","246.15","3784.69","0","8686","Installed sales billings reversed at contract closeout","163175.59","175892.43","0","163802.83","9828.17","9828.17","0"
"202502","222962.92","326.29","14262.95","0","14842","Installed sales billings reversed at contract closeout","102281.18","131712.42","0","91250.5","5475.03","5475.03","0"
"202503","297334.40","138.6","9127.27","21.27","49213","Installed sales billings reversed at contract closeout","125774.09","184274.23","0","113060.17","6783.61","6783.61","0"
"202504","263041.46","20.6","9371.68","0","12623","Installed sales billings reversed at contract closeout","124990.51","147005.79","0","116035.67","6962.14","6962.14","0"
"202505","186121.22","127.44","2809.82","0","35308","Installed sales billings reversed at contract closeout","74740.79","112986.05","0","73135.17","4388.11","4388.11","0"
"202506","147921.32","29.42","2310.88","0","59","Installed sales billings reversed at contract closeout","80280.35","82679.65","0","65241.67","3914.50","3914.5","0"
"202507","106970.48","376.72","3246.49","41.67","0","Installed sales billings reversed at contract closeout","46832.10","50496.98","0","56473.5","3388.41","3388.41","0"
"202508","103606.38","0","2282.35","108.69","0","Installed sales billings reversed at contract closeout","50341.84","52732.88","0","50873.5","3052.41","3052.41","0"
"202509","104773.90","0","2868.32","0","0","Installed sales billings reversed at contract closeout","55620.58","58488.90","0","46285","2777.10","2777.1","0"
"202510","106534.84","0","774.1","0","0","Installed sales billings reversed at contract closeout","52456.74","53230.84","0","53304","3198.24","3198.24","0"
"202511","95094.04","0","1992.54","252.58","3972","Installed sales billings reversed at contract closeout","43127.92","49345.04","0","45749","2744.94","2744.94","0"
"202512","54803.94","0","1433.94","81.2","7629","Installed sales billings reversed at contract closeout","24867.63","34011.77","0","20792.17","1247.53","1247.53","0"
"202601","45523.94","0","1996.24","0","0","Installed sales billings reversed at contract closeout","21798.70","23794.94","0","21729","1303.74","1303.74","0"
"202602","41183.24","0","1111.11","56.47","0","Installed sales billings reversed at contract closeout","21576.16","22743.74","0","18439.5","1106.37","1106.37","0"
"202603","64487.48","0","2123.85","33.57","0","Installed sales billings reversed at contract closeout","31385.56","33542.98","0","30944.5","1856.67","1856.67","0"
"202604","60421.62","0","2635.28","0","0","Installed sales billings reversed at contract closeout","30520.51","33155.79","0","27265.83","1635.95","1635.95","0"
"202605","67525.18","0","1516.83","40.19","0","Installed sales billings reversed at contract closeout","32988.16","34545.18","0","32980","1978.80","1978.8","0"
"202606","12467.74","0","364.56","0","596","Installed sales billings reversed at contract closeout","7225.85","8186.41","0","4281.33","256.88","256.88","0"
