"YearMonth","OrigTax","ReallocDelta","AdjTax","AdjTaxable","Taxable","NonTax","Exempt"
"202009","44706.39","-7076.69","37629.70","627161.75","799859.99","145","54754.07"
"202010","16145.85","9468.23","25614.08","426901.26","596920.69","19860","0"
"202011","68577.31","-31618.52","36958.79","615979.76","1150014.01","35","7060.1"
"202012","34453.98","-10083.10","24370.88","406181.28","574232.29","40372.25","0"
"202101","26972.57","-5819.13","21153.44","352557.37","449541.73","39115","0"
"202102","15713.51","-486.61","15226.90","253781.61","402640.28","24641.56","1903.14"
"202103","46219.74","-12543.35","33676.39","561273.09","787081.5","167745.46","16753.74"
"202104","26192.28","-6792.49","19399.79","323329.80","451606.32","1215","15069.18"
"202105","31743.36","-9395.53","22347.83","372463.78","541034.33","17.82","11980.1"
"202106","58499.62","-16481.88","42017.74","700295.62","995570.42","21138.11","20578.48"
"202107","-73451.48","95308.91","21857.43","364290.47","737567.92","80371.47","83454.94"
"202108","26997.26","-1208.35","25788.91","429815.21","546317.83","49.06","2348.71"
"202109","34432.83","-8288.58","26144.25","435737.53","591532.81","6025.23","17653.24"
"202110","48896.33","-6024.07","42872.26","714537.66","832672.45","5204.42","17733.58"
"202111","35397.78","-11632.02","23765.76","396095.95","598177.2","7551.34","8219.58"
"202112","-13502.26","31245.07","17742.81","295713.52","548654.49","81450.57","29372.72"
"202201","24440.97","-6631.89","17809.08","296818.07","436012.23","1090.72","33017.5"
"202202","49931.45","-18520.39","31411.06","523517.60","845859.99","5219.54","13673.71"
"202203","35973.95","-9325.84","26648.11","444135.09","735944.21","13404.41","136383.12"
"202204","45746.6","-2989.78","42756.82","712613.69","815137.43","325.87","52698.08"
"202205","27905.89","-2740.95","25164.94","419415.59","506262.21","51998.92","41168.1"
"202206","-668.75","35985.86","35317.11","588618.43","882045.75","91973.05","48182.76"
"202207","40453.99","-9310.61","31143.38","519056.26","711007.36","13464.76","36772.45"
"202208","39812.76","2424.19","42236.95","703949.16","1073013.19","92017.52","107661.84"
"202209","47555.06","-19368.06","28187.00","469783.34","812852.53","4299.75","20267.91"
"202210","27666.56","-5445.63","22220.93","370348.77","544208.23","-76.31","83099.51"
"202211","87113.61","-4364.65","82748.96","1379149.29","1485234.3","4299.79","33341.08"
"202212","21972.73","-6063.20","15909.53","265158.77","384034.02","7575.61","17825.27"
"202301","-18680.58","36692.55","18011.97","300199.44","447734.06","141064.24","3804.77"
"202302","18694.58","-4099.77","14594.81","243246.75","317941.81","11653.68","6366.72"
"202303","26953.39","-4445.12","22508.27","375137.89","470261.25","67446.09","21039.99"
"202304","37324.79","-3074.11","34250.68","570844.64","627405.57","102454.3","5330.15"
"202305","35066.28","-6047.51","29018.77","483646.21","593134.62","19181.64","8704.41"
"202306","35447","-8519.30","26927.70","448794.99","651773.1","17265.13","61003.91"
"202307","36574.27","-8798.57","27775.70","462928.33","651185.57","53870.81","41621.77"
"202308","31619.76","-10099.04","21520.72","358678.60","545375.19","-431.72","18381.8"
"202309","47876.26","-10521.77","37354.49","622574.90","818184.39","81488.4","20255.51"
"202310","31399.19","-6883.57","24515.62","408593.65","571682.27","15469.02","48367.08"
"202311","30194.63","-5408.70","24785.93","413098.85","506869.52","1592.27","3631.6"
"202312","55124.83","65310.57","120435.40","2007256.69","2305514.11","128073.08","16749.1"
"202401","26272.58","-7191.92","19080.66","318011.00","442689.05","27317.89","4820.98"
"202402","20773.37","-5200.53","15572.84","259547.39","392296.14","5251.75","46078.71"
"202403","19178.18","-3767.87","15410.31","256838.50","383379.76","1058.61","63748.06"
"202404","22792.48","-6359.77","16432.71","273878.53","381927.71","12410.05","2059.57"
"202405","21216.18","-7078.82","14137.36","235622.64","368726.22","20261.34","15130.55"
"202406","28630856.26","-1947.45","28628908.81","477148480.16","477188046.47","1624.27","7115.24"
"202407","30986.99","-4306.68","26680.31","444671.80","557170.45","4224.78","40728.06"
"202408","-28271.09","45461.18","17190.09","286501.45","473308.09","132537.76","34249.99"
"202409","-13959.81","17554.59","3594.78","59913.08","356474.53","62757.77","2492.52"
"202410","32059.77","-0.22","32059.55","534325.90","541764.69","596.93","7440.03"
"202411","18655.18","-0.78","18654.40","310906.73","323371.79","3076.18","12456.84"
"202412","13428.57","-1.64","13426.93","223782.15","225142.29","9315.35","1332.1"
"202501","11283.15","-0.04","11283.11","188051.78","190103.09","4379.97","2055.36"
"202502","7012.91","-0.03","7012.88","116881.36","124394.55","7670.21","7519.59"
"202503","9219","-0.26","9218.74","153645.73","161631.19","24506.29","7952.67"
"202504","10134.36","-0.82","10133.54","168892.27","170729.36","12853.95","1828.41"
"202505","5750.88","4.07","5754.95","95915.90","97574.63","81879.19","1730.52"
"202506","6802.04","3.67","6805.71","113428.5","114533.77","477.54","1170.15"
"202507","3462.94","0","3462.94","57715.67","59644.03","-551.68","1932.45"
"202508","5559.44","0","5559.44","92657.33","93848.74","7099.16","1195.52"
"202509","4833","0","4833","80550","81977.51","-196.09","1434.16"
"202510","6301.25","0","6301.25","105020.83","105403.21","-276.94","387.05"
"202511","3299.92","0","3299.92","54998.67","56117.71","3040.86","1122.56"
"202512","1484.24","0","1484.24","24737.33","25663.33","3814.71","929.21"
"202601","1594.36","0","1594.36","26572.67","27566.37","-103.59","998.12"
"202602","1260.94","0","1260.94","21015.67","21639.7","-141.37","627.26"
"202603","2208.59","0","2208.59","36809.83","38128.4","-366.97","1322.98"
"202604","2325.64","0","2325.64","38760.67","40364.13","-349.8","1608.62"
"202605","3103.79","0","3103.79","51729.83","52510.36","108.78","785.28"
"202606","360.6","0","360.6","6010","6191.27","288.79","182.28"
